userid,content,star_rating,time
sanc***,가볍고 커서 좋아요,5,2022-05-15T00:02:40.921+00:00
dalb****,벌써 세개째 재구매 입니다,5,2022-05-25T13:27:27.857+00:00
ne****,굿~~~~~~~~~~~~~~~~,5,2022-06-22T09:53:17.395+00:00
ne****,굿~~~~~~~~~~~~~~~~,5,2022-06-22T09:53:10.764+00:00
shin******,배송 빠른편이예요 써보기전이지만 괜찮아보여요,4,2022-04-30T01:33:20.842+00:00
kms2*****,여름에 스벅 콜드컵 없으면 못 살아요  하루 4L 물 먹는 하마에겐 얘가 짱이랍니다   🤧,5,2022-05-10T23:41:17.285+00:00
qazw****,너무 깔끔하고 예쁜 스타일이에요 ㅠㅠ 배송도 빠르고 ㅜ 넘 추천,5,2022-04-22T02:25:43.843+00:00
rock*****,배송이 아주 빨랐어요,5,2022-05-21T04:29:51.941+00:00
rock*****,배송이 아주 빨랐어요,5,2022-05-21T04:28:48.315+00:00
twin*****,빠른 배송 감사합니다,5,2022-05-17T00:36:52.554+00:00
jesh****,완전 이쁘고 좋아요 !,5,2022-05-18T04:48:10.834+00:00
kids****,원래 엄청 잘 쓰던건데  깨져서 재주문해써요~,5,2022-04-23T11:20:58.595+00:00
umsu****,보온  보냉은 안되지만 재활용 컵으로 사용하기에는 좋은 것 같아요,5,2022-04-16T04:56:32.733+00:00
kd****,가볍고 좋아요 생각하던 그 모습이네요,5,2022-04-20T10:15:28.040+00:00
vpsf****,잘 쓰고있어요 편리합니다,5,2022-05-12T13:10:15.568+00:00
phsi*****,물을 너무 안마셔서 일부러 투명 컵 사면 잘 마셔질까 싶어서 구매했어요 ㅎㅎ 용량도 커서 하루에 두 번만 다 마셔도 1.5리터 쯤 마시는 거라 열심히 활용중이에요 ㅎㅎ 좋아요,5,2022-04-12T09:58:12.017+00:00
choi******,올 여름 잘쓰겠습니다 크기도 크고 좋아요~,5,2022-04-05T07:09:38.330+00:00
yoor*****,제가 지금껏 봤던 스타벅스 컵중에 가장 튼튼하고 가장 맘에 들어요  전 앞으로 여기서 텀블러 살려구여ㅋㅋㅋ,5,2022-04-19T10:40:49.269+00:00
dlaw*********,만족스럽습니다 잘 쓰고있어요 지금도 !,5,2022-04-28T11:23:52.225+00:00
over****,또 구입할께요 수고하세요,5,2022-05-04T08:36:56.117+00:00
over****,또구입할께요 수고하세요,5,2022-05-04T08:36:33.221+00:00
love*****,배송 빠르게 잘 도착했어요 가볍고 좋습니다,5,2022-04-05T14:52:38.619+00:00
